Grievance_ID,Department,Location,Date,Description,Status,Resolution_Days
GRV-2026192,Water & Sanitation,Ward 8 (Station Road),2026-07-30,No water supply for last 3 days in Ward 12 residential block.,In Progress,11.9
GRV-2026193,Public Transport & Traffic,Ward 4 (Indiranagar),2026-07-27,Bus stop shelter roof broken causing passengers to stand in heavy rain.,Open,10
GRV-2026194,Water & Sanitation,Ward 9 (Industrial Area),2026-07-26,Drainage overflow on main road resulting in stagnant dirty water and foul smell.,Resolved,13.6
GRV-2026195,Waste & Sanitation,Ward 2 (Civil Lines),2026-07-30,Public park littered with plastic bags and waste due to missing trash cans.,Resolved,6.3
GRV-2026196,Roads & Infrastructure,Ward 9 (Industrial Area),2026-07-03,Damaged traffic light junction box causing signal blackout during peak hours.,In Progress,7.1
GRV-2026197,Roads & Infrastructure,Ward 21 (West Suburbs),2026-07-10,Broken concrete footpath near metro station creating risk for pedestrian injury.,Open,14
GRV-2026198,Public Transport & Traffic,Ward 9 (Industrial Area),2026-07-04,Auto-rickshaws charging extra fare and refusing meter near railway station.,Resolved,11.6
GRV-2026199,Roads & Infrastructure,Ward 4 (Indiranagar),2026-07-02,Broken concrete footpath near metro station creating risk for pedestrian injury.,Resolved,7.5
GRV-2026200,Water & Sanitation,Ward 8 (Station Road),2026-07-14,Severe water pipe leakage near main market causing street flooding and low pressure.,Open,17
GRV-2026201,Public Transport & Traffic,Ward 4 (Indiranagar),2026-07-05,Overcrowding and insufficient bus frequency during evening office rush hours.,Open,20
GRV-2026202,Waste & Sanitation,Ward 18 (Lakeview Colony),2026-07-04,Door-to-door waste collection truck has not visited ward 8 since Monday.,In Progress,9.2
GRV-2026203,Electricity & Power,Ward 15 (North Extension),2026-07-18,Incorrect high billing amount issued due to faulty digital electricity meter.,In Progress,13.3
GRV-2026204,Public Transport & Traffic,Ward 4 (Indiranagar),2026-07-02,Overcrowding and insufficient bus frequency during evening office rush hours.,Resolved,3.4
GRV-2026205,Roads & Infrastructure,Ward 9 (Industrial Area),2026-07-16,Dangerous deep potholes on MG Road post-monsoon causing vehicle damage and traffic congestion.,In Progress,6.0
GRV-2026206,Public Transport & Traffic,Ward 15 (North Extension),2026-07-13,Auto-rickshaws charging extra fare and refusing meter near railway station.,Open,24
GRV-2026207,Electricity & Power,Ward 2 (Civil Lines),2026-07-22,Incorrect high billing amount issued due to faulty digital electricity meter.,Open,19
GRV-2026208,Waste & Sanitation,Ward 18 (Lakeview Colony),2026-07-09,Unattended garbage bin overflowing for 5 days attracting stray dogs and flies.,Pending Inspection,22
GRV-2026209,Water & Sanitation,Ward 21 (West Suburbs),2026-07-14,Severe water pipe leakage near main market causing street flooding and low pressure.,Open,24
GRV-2026210,Electricity & Power,Ward 8 (Station Road),2026-07-10,Frequent unannounced power cuts during night hours lasting 4-5 hours.,In Progress,5.6
GRV-2026211,Water & Sanitation,Ward 12 (Central Market),2026-07-16,Contaminated drinking water with brown sediment coming out of tap in household.,Open,14
GRV-2026212,Roads & Infrastructure,Ward 8 (Station Road),2026-07-29,Road construction work left abandoned without warning barricades or signs.,Open,20
GRV-2026213,Water & Sanitation,Ward 21 (West Suburbs),2026-07-27,Illegal water pipeline connection causing pressure drop across sector 4.,Resolved,10.8
GRV-2026214,Waste & Sanitation,Ward 15 (North Extension),2026-07-15,Sanitation workers sweeping dirt directly into open storm water drains.,In Progress,6.1
GRV-2026215,Electricity & Power,Ward 15 (North Extension),2026-07-05,Incorrect high billing amount issued due to faulty digital electricity meter.,In Progress,2.9
GRV-2026216,Public Transport & Traffic,Ward 8 (Station Road),2026-07-15,City bus route 45 consistently running 40 minutes late during morning peak hours.,In Progress,2.8
GRV-2026217,Electricity & Power,Ward 4 (Indiranagar),2026-07-09,Incorrect high billing amount issued due to faulty digital electricity meter.,Pending Inspection,15
GRV-2026218,Water & Sanitation,Ward 8 (Station Road),2026-07-09,Illegal water pipeline connection causing pressure drop across sector 4.,Resolved,2.7
GRV-2026219,Roads & Infrastructure,Ward 18 (Lakeview Colony),2026-07-01,Dangerous deep potholes on MG Road post-monsoon causing vehicle damage and traffic congestion.,Open,10
GRV-2026220,Electricity & Power,Ward 15 (North Extension),2026-07-14,Incorrect high billing amount issued due to faulty digital electricity meter.,In Progress,5.2
GRV-2026221,Water & Sanitation,Ward 15 (North Extension),2026-07-09,Illegal water pipeline connection causing pressure drop across sector 4.,Open,20
GRV-2026222,Roads & Infrastructure,Ward 2 (Civil Lines),2026-07-08,"Street asphalt peeled off near bridge junction, needs immediate tarring.",In Progress,3.5
GRV-2026223,Electricity & Power,Ward 8 (Station Road),2026-07-17,Frequent unannounced power cuts during night hours lasting 4-5 hours.,Resolved,1.6
GRV-2026224,Electricity & Power,Ward 15 (North Extension),2026-07-07,Sparking electrical transformer pole posing fire hazard near residential area.,In Progress,13.1
GRV-2026225,Electricity & Power,Ward 21 (West Suburbs),2026-07-07,Streetlights not functioning on 5th Main street for past two weeks.,Open,25
GRV-2026226,Roads & Infrastructure,Ward 12 (Central Market),2026-07-06,"Street asphalt peeled off near bridge junction, needs immediate tarring.",Resolved,8.8
GRV-2026227,Electricity & Power,Ward 4 (Indiranagar),2026-07-24,Frequent unannounced power cuts during night hours lasting 4-5 hours.,Open,12
GRV-2026228,Water & Sanitation,Ward 21 (West Suburbs),2026-07-07,"Borewell pump broken near community park, residents stranded without water.",Open,16
GRV-2026229,Electricity & Power,Ward 18 (Lakeview Colony),2026-07-03,Hanging low overhead power line near school gate needs immediate tightening.,Resolved,10.0
GRV-2026230,Electricity & Power,Ward 21 (West Suburbs),2026-07-15,High voltage fluctuation damaging home electrical appliances in neighborhood.,In Progress,5.0
GRV-2026231,Water & Sanitation,Ward 21 (West Suburbs),2026-07-02,"Borewell pump broken near community park, residents stranded without water.",Open,14
GRV-2026232,Roads & Infrastructure,Ward 2 (Civil Lines),2026-07-22,Road construction work left abandoned without warning barricades or signs.,Open,17
GRV-2026233,Public Transport & Traffic,Ward 15 (North Extension),2026-07-29,Bus stop shelter roof broken causing passengers to stand in heavy rain.,In Progress,6.4
GRV-2026234,Waste & Sanitation,Ward 15 (North Extension),2026-07-20,Unattended garbage bin overflowing for 5 days attracting stray dogs and flies.,Open,24
GRV-2026235,Electricity & Power,Ward 2 (Civil Lines),2026-07-31,Sparking electrical transformer pole posing fire hazard near residential area.,In Progress,13.3
GRV-2026236,Public Transport & Traffic,Ward 18 (Lakeview Colony),2026-07-15,Overcrowding and insufficient bus frequency during evening office rush hours.,In Progress,11.3
GRV-2026237,Roads & Infrastructure,Ward 9 (Industrial Area),2026-07-22,Dangerous deep potholes on MG Road post-monsoon causing vehicle damage and traffic congestion.,Open,19
GRV-2026238,Electricity & Power,Ward 15 (North Extension),2026-07-18,Hanging low overhead power line near school gate needs immediate tightening.,Open,21
GRV-2026239,Roads & Infrastructure,Ward 18 (Lakeview Colony),2026-07-17,Broken concrete footpath near metro station creating risk for pedestrian injury.,Open,13
GRV-2026240,Water & Sanitation,Ward 9 (Industrial Area),2026-07-26,Illegal water pipeline connection causing pressure drop across sector 4.,In Progress,5.4
GRV-2026241,Roads & Infrastructure,Ward 8 (Station Road),2026-07-10,"Street asphalt peeled off near bridge junction, needs immediate tarring.",In Progress,2.4
GRV-2026242,Waste & Sanitation,Ward 15 (North Extension),2026-07-31,Door-to-door waste collection truck has not visited ward 8 since Monday.,Open,25
GRV-2026243,Public Transport & Traffic,Ward 21 (West Suburbs),2026-07-26,Bus stop shelter roof broken causing passengers to stand in heavy rain.,Resolved,10.5
GRV-2026244,Roads & Infrastructure,Ward 9 (Industrial Area),2026-07-13,"Street asphalt peeled off near bridge junction, needs immediate tarring.",In Progress,11.9
GRV-2026245,Waste & Sanitation,Ward 9 (Industrial Area),2026-07-09,Unattended garbage bin overflowing for 5 days attracting stray dogs and flies.,In Progress,13.9
GRV-2026246,Roads & Infrastructure,Ward 9 (Industrial Area),2026-07-13,"Street asphalt peeled off near bridge junction, needs immediate tarring.",In Progress,11.2
GRV-2026247,Electricity & Power,Ward 2 (Civil Lines),2026-07-20,Frequent unannounced power cuts during night hours lasting 4-5 hours.,Pending Inspection,12
GRV-2026248,Public Transport & Traffic,Ward 12 (Central Market),2026-07-05,Auto-rickshaws charging extra fare and refusing meter near railway station.,In Progress,3.7
GRV-2026249,Public Transport & Traffic,Ward 9 (Industrial Area),2026-07-21,Bus stop shelter roof broken causing passengers to stand in heavy rain.,Resolved,6.2
GRV-2026250,Waste & Sanitation,Ward 8 (Station Road),2026-07-28,Unattended garbage bin overflowing for 5 days attracting stray dogs and flies.,Open,8
